R,hint,施設名,0,1
302.0,302,幼保連携型認定こども園　夢の森,640387.6301645773,#00000000
303.0,303,幼保連携型　おとぎ認定こども園,557375.6940953033,#fed97660
304.0,304,幼保連携型認定こども園　花の森,1549146.9388662856,#fee48d60
305.0,305,幼保連携型認定こども園　心の森,417009.90255413065,#feca6560
306.0,306,幼保連携型認定こども園　明舞幼稚園,480429.42470234673,#fa4b2960
307.0,307,幼保連携型認定こども園　塩屋幼稚園,1344451.5448570543,#fed37060
308.0,308,幼保連携型小束山認定こども園,1331549.9811658433,#fee69260
309.0,309,幼保連携型認定こども園　桃の木幼稚園,2764551.759663937,#fda34560
310.0,310,幼保連携型認定こども園　上高丸,390905.3718237124,#fff1aa60
311.0,311,認定こども園　霞ヶ丘幼稚園,676152.1805680301,#fec15c60
312.0,312,認定こども園　湊川短期大学附属神陵台幼稚園,470869.51321731217,#fc5c2e60
313.0,313,認定こども園　湊川短期大学附属西舞子幼稚園,238812.9414037154,#f2392460
314.0,314,認定こども園　聖マリアの園幼稚園,407465.9307848537,#fd9c4260
315.0,315,奥ノ池保育所,376934.31251624424,#f9482860
316.0,316,星陵台保育所,1023144.9884763157,#feda7860
317.0,317,本多聞保育所,1228724.0202607191,#fff3b060
318.0,318,川原保育所,371794.1893177628,#00000000
319.0,319,東高丸保育所,277731.79164211405,#fee89660
320.0,320,向陽保育所,315029.5184936911,#fee48d60
321.0,321,舞子保育園,488400.98676857195,#fee18660
322.0,322,歌敷山保育園,511147.5148996978,#fda44660
323.0,323,東垂水保育園,376912.60340862564,#fee48d60
324.0,324,塩屋保育園,1609119.105837299,#ffeda160
325.0,325,滝の茶屋保育園,681326.160711549,#fee89660
326.0,326,学が丘保育園　　※分園を含む,1210360.3653475135,#feec9f60
327.0,327,たるみ保育園,474891.517867028,#fed97660
328.0,328,"ドレミキッズ保育園, ハープキッズ",449122.3587074662,#fec15c60
329.0,329,千鳥が丘親和保育園,777606.3817669284,#fff1aa60
330.0,330,ことぶき保育園,1309584.0750946968,#fec15c60
331.0,331,ひとまる保育園,672641.913118749,#feec9e60
332.0,332,かすみがおか虹保育園,709607.7945429311,#feda7960
333.0,333,たけの保育園　　※分園を含む,519107.6657931339,#fff5b460
334.0,334,かすが保育園,523828.1025712548,#feda7860
335.0,335,多聞台保育園,1668753.1964651006,#fed87560
336.0,336,たかつか保育園,1827617.557668187,#fda94860
